Historial de corridas de simulacion.
Cada nueva ejecucion se agrega al final de este archivo.

=== 2026-07-20T11:26:22-03:00 ===
Resultados de los 22 escenarios configurados | horas=720 | seed=0
ESC     CP  CO_T1  CO_T2  CO_T3  CUMPLIMIENTO_%  PTO_%  PTO_O_%  TR_%   PROD_H  COLA_FINAL
------  --  -----  -----  -----  --------------  -----  -------  -----  ------  ----------
CP3-A   3   3      3      3      43.86           0.02   0.02     0.503  393.9   11707     
CP3-C   3   2      3      2      34.4            0.01   0.01     0.5    308.9   13698     
CP3-D   3   4      4      4      43.86           0.02   25.02    0.503  393.9   11707     
CP4-A   4   4      4      4      58.96           0.03   0.03     0.509  529.6   8616      
CP4-C   4   3      4      3      48.99           0.02   0.02     0.509  440.0   10680     
CP4-D   4   3      2      3      39.21           0.03   0.03     0.502  352.2   12722     
CP5-A   5   5      5      5      73.96           0.04   0.04     0.508  664.2   5562      
CP5-B   5   4      5      5      69.13           0.03   0.03     0.512  620.9   6576      
CP5-C   5   4      5      4      64.06           0.03   0.03     0.511  575.3   7573      
CP5-D   5   5      4      5      69.13           0.04   0.04     0.512  620.9   6577      
CP6     6   6      6      6      88.04           0.05   0.05     0.518  790.7   2519      
CP7-A   7   7      7      7      99.97           2.86   2.86     0.515  897.8   7         
CP7-B   7   8      8      8      99.97           2.86   15.0     0.515  897.8   7         
CP7-C   7   6      7      6      92.25           0.12   0.12     0.518  828.5   1544      
CP7-D   7   7      6      7      97.64           0.4    0.4      0.518  876.9   495       
CP8-A   8   8      8      8      99.98           14.98  14.98    0.515  897.9   0         
CP8-B   8   9      9      9      99.98           14.98  24.42    0.515  897.9   0         
CP8-C   8   7      8      7      99.97           7.28   7.28     0.515  897.8   7         
CP8-D   8   8      7      8      99.98           11.29  11.29    0.515  897.9   0         
CP10    10  10     9      10     99.99           29.62  29.62    0.515  898.0   0         
CP12-A  12  12     11     10     99.99           38.15  38.15    0.515  898.0   0         
CP12-B  12  8      8      8      99.98           14.98  14.98    0.515  897.9   0         

=== 2026-07-20T11:39:10-03:00 ===
Resultados de los 15 escenarios configurados | horas=8640 | seed=0
ESC     CP  CO_T1  CO_T2  CO_T3  CUMPLIMIENTO_%  PTO_%  PTO_O_%  TR_%   PROD_H  COLA_FINAL
------  --  -----  -----  -----  --------------  -----  -------  -----  ------  ----------
CP5-A   5   5      5      5      73.29           0.0    0.0      0.517  659.8   65888     
CP5-B   5   4      4      4      58.4            0.0    0.0      0.518  525.8   102672    
CP5-C   5   5      4      4      63.32           0.0    0.0      0.518  570.0   90293     
CP6     6   6      6      6      87.92           0.0    0.0      0.517  791.5   29662     
CP7-A   7   7      7      7      99.99           2.76   2.76     0.517  900.2   22        
CP7-B   7   8      8      8      99.99           2.76   14.92    0.517  900.2   22        
CP7-C   7   6      7      6      92.94           0.01   0.01     0.517  836.7   17321     
CP7-D   7   7      6      7      97.96           0.03   0.03     0.517  882.0   5109      
CP8-A   8   8      8      8      99.99           14.92  14.92    0.517  900.2   16        
CP8-B   8   9      9      9      99.99           14.92  24.37    0.517  900.2   16        
CP8-C   8   7      8      7      99.99           7.2    7.2      0.517  900.2   22        
CP8-D   8   8      7      8      99.99           11.23  11.23    0.517  900.2   16        
CP10    10  10     9      10     99.99           29.59  29.59    0.517  900.2   6         
CP12-A  12  12     11     10     99.99           38.12  38.12    0.517  900.2   6         
CP12-B  12  8      8      8      99.99           14.92  14.92    0.517  900.2   16        

